trial_id,trial_index,condition_label,condition_name,pupil_valid_trial,eye_valid_trial,aom_valid_trial,pom_valid_trial,pupil_dilation_happened,pupil_baseline_min,pupil_response_max,pupil_dilation_threshold,pupil_dilation_time_sec,pupil_peak_time_sec,eye_movement_happened,eye_baseline_mean,eye_response_max,eye_movement_threshold,eye_movement_time_sec,eye_peak_time_sec,active_locomotion_happened,aom_baseline_mean,aom_response_max,active_locomotion_threshold,active_locomotion_time_sec,aom_peak_time_sec,passive_locomotion_happened,pom_baseline_mean,pom_response_max,passive_locomotion_threshold,passive_locomotion_time_sec,pom_peak_time_sec,active_freezing_happened,active_freezing_time_sec,aom_trough_time_sec,passive_freezing_happened,passive_freezing_time_sec,pom_trough_time_sec
T187,186,1,tilt_left,True,True,False,True,True,0.1405325557905137,0.173834946384411,0.14755918358003942,2.0,3.7,True,0.018440447056823888,0.06468136049434554,0.02766067058523583,2.2,3.75,False,,,,,,True,0.0011823763580673028,0.7707382612520076,0.001773564537100954,2.0,2.2,False,,,False,,3.7
T188,187,0,no_tilt,True,True,True,True,False,0.1639945533040472,0.17121912513127235,0.17219428096924955,,2.95,True,0.027847322489069494,0.0751685655476755,0.041770983733604244,2.0,2.2,True,0.5066887895404861,0.9200509604441645,0.7600331843107292,2.15,2.15,True,0.0006907631303564646,0.006097025339255409,0.0010361446955346968,2.1,3.35,True,2.0,3.25,True,2.3000000000000003,3.0500000000000003
T189,188,1,tilt_left,True,True,True,True,True,0.09746398835186855,0.16728692731859185,0.10233718776946198,2.0,3.75,True,0.0386767066736635,0.0849771501872734,0.05801506001049525,2.4000000000000004,3.45,True,0.21745925010600117,1.641482317866797,0.32618887515900175,2.25,2.4000000000000004,True,0.0009759080052293107,0.42620439869731985,0.0014638620078439662,2.0,2.25,True,2.0,3.8000000000000003,False,,3.7
T190,189,0,no_tilt,True,True,True,True,True,0.14545578859990482,0.15423215515029665,0.15272857802990006,2.25,2.5,False,0.006012340199749914,0.00293714923911595,0.00901851029962487,,3.0500000000000003,False,0.24676646106790495,0.3240488391265027,0.3701496916018574,,3.3000000000000003,True,0.0008131993618752506,0.007535850160002274,0.0012197990428128758,2.1,3.35,True,2.0,2.95,True,2.35,2.35
T191,190,0,no_tilt,True,True,True,True,True,0.11688340087994314,0.18020188017651534,0.12272757092394031,2.0,3.6500000000000004,True,0.01625713891940466,0.09052311819986414,0.02438570837910699,2.0500000000000003,3.35,True,0.15458163780216236,1.0699097294164126,0.23187245670324352,2.0,3.4000000000000004,True,0.0008552180038944445,0.00834053383614398,0.0012828270058416668,2.1,3.35,True,2.4000000000000004,3.1500000000000004,True,2.35,2.35
T192,191,2,tilt_right,True,True,True,True,True,0.14887193412694094,0.18291584243391465,0.156315530833288,2.0,3.1500000000000004,True,0.020885924806650514,0.0837221727339916,0.03132888720997577,2.5500000000000003,3.35,True,0.12310929458854485,0.6312057144776207,0.18466394188281726,2.25,3.6500000000000004,True,0.0008154996951473599,0.3782560514400337,0.00122324954272104,2.0500000000000003,2.25,True,2.0,2.0,False,,2.0
T193,192,1,tilt_left,True,True,True,True,True,0.1405844909549786,0.16779026900030047,0.14761371550272753,2.8000000000000003,3.85,True,0.01834606466577742,0.09100203635154505,0.027519096998666132,2.0,2.4000000000000004,True,0.4547308696672168,1.28964407075025,0.6820963045008253,2.0,2.0500000000000003,True,0.0007377004289346776,0.41997316964140224,0.0011065506434020163,2.0,2.2,True,2.35,3.4000000000000004,False,,3.7
T194,193,2,tilt_right,True,True,True,True,True,0.14782265049368426,0.1827977595641616,0.15521378301836847,2.0,3.2,True,0.01962461571500595,0.07610611474953395,0.029436923572508922,2.35,2.6500000000000004,True,0.33309345794842615,0.6703991639486866,0.49964018692263923,3.25,3.3000000000000003,True,0.0006971796064413726,0.3390393147638233,0.0010457694096620588,2.0500000000000003,2.25,True,2.0,3.0,True,2.0,2.0
T195,194,2,tilt_right,True,True,True,True,True,0.1417244073368659,0.1577203072557474,0.1488106277037092,2.95,3.8000000000000003,True,0.004689490027210403,0.09851042607932589,0.007034235040815605,2.2,3.45,True,0.05762716821462359,0.49560483321699483,0.08644075232193538,2.1,3.45,True,0.000733001361558909,0.3481340527303844,0.0010995020423383633,2.0500000000000003,2.25,True,2.8000000000000003,2.9000000000000004,True,2.0,2.0
T196,195,1,tilt_left,True,True,True,True,True,0.1299458710708018,0.15307912895895803,0.1364431646243419,2.9000000000000004,3.75,True,0.0029657685939661273,0.10473305031472589,0.004448652890949191,2.2,3.6500000000000004,True,0.043300408510991,0.7469233171767198,0.0649506127664865,2.0500000000000003,2.6500000000000004,True,0.0006717459164302173,0.3211366390424557,0.0010076188746453258,2.0,2.2,False,,2.0,False,,3.7
T197,196,1,tilt_left,True,True,True,True,True,0.12651178491929427,0.1479580168828869,0.13283737416525898,2.0,2.95,True,0.008677849347843316,0.09617624490215905,0.013016774021764974,2.25,3.85,True,0.06181547170040186,1.3523623996924996,0.09272320755060279,2.0500000000000003,3.1500000000000004,True,0.0006762120513563333,0.3300438115370636,0.0010143180770345,2.0,2.2,True,2.0,2.0,False,,3.7
T198,197,2,tilt_right,True,True,True,True,True,0.12440357364813104,0.15127815795063154,0.1306237523305376,2.3000000000000003,3.5,True,0.0026628551207226376,0.08786105956809281,0.003994282681083957,2.2,3.5500000000000003,True,0.024810620533073646,0.44211584304649787,0.03721593079961047,2.0500000000000003,3.5,True,0.0007391039387113416,0.33991294217498946,0.0011086559080670123,2.0500000000000003,2.25,False,,2.0,True,2.0,2.0
T199,198,2,tilt_right,True,True,True,True,True,0.12344184202698914,0.16385705215528823,0.1296139341283386,2.25,3.7,True,0.008674310556406425,0.06530275931155015,0.013011465834609638,2.25,2.4000000000000004,True,0.056545228703401486,1.007192742620194,0.08481784305510223,2.0500000000000003,2.4000000000000004,True,0.0007799724511486106,0.3999370065084646,0.001169958676722916,2.0500000000000003,2.25,True,2.0,2.0,True,2.0,2.0
